tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
53011040603,53,WA,011,Clark County,040603,"1,368",20,"1,152",1.7%,0,"1,522",0.0%,92,749,12.3%,6.8%,-0.2%
53011040604,53,WA,011,Clark County,040604,"1,431",55,"1,772",3.1%,0,"1,641",0.0%,285,"1,152",24.7%,6.8%,-0.2%
53011040605,53,WA,011,Clark County,040605,912,15,765,2.0%,5,"1,523",0.3%,72,497,14.5%,6.8%,-0.2%
53011040606,53,WA,011,Clark County,040606,"1,911",61,"3,883",1.6%,7,"3,628",0.2%,284,"2,524",11.3%,6.7%,-0.2%
53011040702,53,WA,011,Clark County,040702,"1,806",54,"1,998",2.7%,1,"2,402",0.0%,274,"1,299",21.1%,6.8%,-0.2%
53011040703,53,WA,011,Clark County,040703,"2,003",88,"2,331",3.8%,35,"2,299",1.5%,468,"1,515",30.9%,6.8%,-0.2%
53011040705,53,WA,011,Clark County,040705,"3,350",171,"4,310",4.0%,2,"3,819",0.1%,913,"2,802",32.6%,6.8%,-0.2%
53011040706,53,WA,011,Clark County,040706,"1,175",34,791,4.3%,31,"1,391",2.2%,183,514,35.6%,6.8%,-0.2%
53011040803,53,WA,011,Clark County,040803,"1,487",30,"1,169",2.6%,47,"1,826",2.6%,150,760,19.7%,6.8%,-0.2%
53011040804,53,WA,011,Clark County,040804,"2,538",85,"2,860",3.0%,105,"3,682",2.9%,440,"1,859",23.7%,6.8%,-0.2%
53011040805,53,WA,011,Clark County,040805,"1,629",44,"1,609",2.7%,35,"2,006",1.7%,224,"1,046",21.4%,6.8%,-0.2%
53011040806,53,WA,011,Clark County,040806,"1,016",47,"1,606",2.9%,11,"1,468",0.7%,245,"1,044",23.5%,6.8%,-0.2%
53011040904,53,WA,011,Clark County,040904,"2,136",35,"1,294",2.7%,52,"2,440",2.1%,176,841,20.9%,6.8%,-0.2%
53011040905,53,WA,011,Clark County,040905,982,15,861,1.7%,3,"1,124",0.3%,69,560,12.3%,6.8%,-0.2%
53011040906,53,WA,011,Clark County,040906,"2,724",65,"2,817",2.3%,6,"3,583",0.2%,320,"1,831",17.5%,6.8%,-0.2%
53011040907,53,WA,011,Clark County,040907,"1,191",30,"1,363",2.2%,7,"1,603",0.4%,145,886,16.4%,6.8%,-0.2%
53011040908,53,WA,011,Clark County,040908,"1,838",48,"1,931",2.5%,25,"2,217",1.1%,239,"1,255",19.0%,6.8%,-0.2%
53011041002,53,WA,011,Clark County,041002,"2,597",43,"1,415",3.0%,162,"2,942",5.5%,241,920,26.2%,6.1%,-0.2%
53011041003,53,WA,011,Clark County,041003,"1,528",21,825,2.5%,64,"1,608",4.0%,127,536,23.7%,5.4%,-0.2%
53011041005,53,WA,011,Clark County,041005,876,21,482,4.4%,71,"1,023",6.9%,128,313,40.9%,5.3%,-0.2%
53011041007,53,WA,011,Clark County,041007,"1,211",24,880,2.7%,38,"1,290",2.9%,125,572,21.9%,6.7%,-0.2%
53011041008,53,WA,011,Clark County,041008,"1,327",28,"1,025",2.7%,37,"1,469",2.5%,142,666,21.3%,6.8%,-0.2%
53011041009,53,WA,011,Clark County,041009,"1,512",20,680,2.9%,35,"1,606",2.2%,106,442,24.0%,6.8%,-0.2%
53011041104,53,WA,011,Clark County,041104,880,44,"1,077",4.1%,33,"1,418",2.3%,236,700,33.7%,6.8%,-0.2%
53011041105,53,WA,011,Clark County,041105,"1,623",47,"1,340",3.5%,43,"1,879",2.3%,247,871,28.4%,6.8%,-0.2%
53011041107,53,WA,011,Clark County,041107,656,18,628,2.9%,14,813,1.7%,95,408,23.3%,6.8%,-0.2%
53011041108,53,WA,011,Clark County,041108,"2,296",32,"1,035",3.1%,47,"2,970",1.6%,191,673,28.4%,5.5%,-0.2%
53011041109,53,WA,011,Clark County,041109,"2,214",46,"1,272",3.6%,75,"3,466",2.2%,263,827,31.8%,5.9%,-0.2%
53011041110,53,WA,011,Clark County,041110,"1,767",51,"1,451",3.5%,43,"2,258",1.9%,276,943,29.3%,6.6%,-0.2%
53011041201,53,WA,011,Clark County,041201,"2,203",25,"1,278",2.0%,72,"2,990",2.4%,155,831,18.7%,5.2%,-0.2%
53011041203,53,WA,011,Clark County,041203,"1,490",35,"1,011",3.5%,25,"1,714",1.5%,213,657,32.4%,5.2%,-0.2%
53011041205,53,WA,011,Clark County,041205,"1,703",18,861,2.1%,42,"1,996",2.1%,108,560,19.3%,5.2%,-0.2%
53011041206,53,WA,011,Clark County,041206,"2,010",37,"1,346",2.7%,36,"2,071",1.7%,224,875,25.6%,5.2%,-0.2%
53011041309,53,WA,011,Clark County,041309,"1,848",21,972,2.2%,42,"2,020",2.1%,131,632,20.7%,5.2%,-0.2%
53011041310,53,WA,011,Clark County,041310,"2,240",9,846,1.1%,114,"2,485",4.6%,56,550,10.2%,5.2%,-0.2%
53011041312,53,WA,011,Clark County,041312,944,17,529,3.2%,65,"1,638",4.0%,99,344,28.8%,5.7%,-0.2%
53011041313,53,WA,011,Clark County,041313,892,20,448,4.5%,40,"1,077",3.7%,122,291,41.9%,5.3%,-0.2%
53011041314,53,WA,011,Clark County,041314,"2,146",81,"2,275",3.6%,64,"2,549",2.5%,488,"1,479",33.0%,5.2%,-0.2%
53011041315,53,WA,011,Clark County,041315,"1,760",119,"4,109",2.9%,70,"3,512",2.0%,649,"2,671",24.3%,6.2%,-0.2%
53011041316,53,WA,011,Clark County,041316,"2,126",77,"2,254",3.4%,32,"2,267",1.4%,465,"1,465",31.7%,5.2%,-0.2%
53011041317,53,WA,011,Clark County,041317,"1,208",26,701,3.7%,58,"1,695",3.4%,156,456,34.2%,5.2%,-0.2%
53011041318,53,WA,011,Clark County,041318,"1,637",25,857,2.9%,72,"2,119",3.4%,151,557,27.1%,5.2%,-0.2%
53011041319,53,WA,011,Clark County,041319,"1,717",38,"1,661",2.3%,37,"2,114",1.8%,230,"1,080",21.3%,5.2%,-0.2%
53011041320,53,WA,011,Clark County,041320,"1,827",39,"1,234",3.2%,101,"2,276",4.4%,233,802,29.1%,5.2%,-0.2%
53011041321,53,WA,011,Clark County,041321,842,21,741,2.8%,19,"1,067",1.8%,106,482,22.0%,6.8%,-0.2%
53011041322,53,WA,011,Clark County,041322,"1,701",17,715,2.4%,79,"2,384",3.3%,102,465,21.9%,5.2%,-0.2%
53011041323,53,WA,011,Clark County,041323,"2,184",26,"1,037",2.5%,41,"2,317",1.8%,158,674,23.4%,5.2%,-0.2%
53011041324,53,WA,011,Clark County,041324,"2,639",65,"3,383",1.9%,1,"3,526",0.0%,401,"2,199",18.2%,5.3%,-0.2%
53011041325,53,WA,011,Clark County,041325,"1,053",27,"1,628",1.7%,4,"1,775",0.2%,154,"1,058",14.6%,5.6%,-0.2%
53011041400,53,WA,011,Clark County,041400,"1,626",52,"1,708",3.0%,80,"1,943",4.1%,272,"1,110",24.5%,6.8%,-0.2%
53011041500,53,WA,011,Clark County,041500,"1,017",21,615,3.4%,33,"1,148",2.9%,109,400,27.3%,6.8%,-0.2%
53011041600,53,WA,011,Clark County,041600,"1,543",15,438,3.4%,13,"1,672",0.8%,88,285,30.9%,5.2%,-0.2%
53011041700,53,WA,011,Clark County,041700,"1,537",31,660,4.7%,85,"1,680",5.1%,188,429,43.8%,5.2%,-0.2%
53011041800,53,WA,011,Clark County,041800,"1,572",44,"1,043",4.2%,125,"1,742",7.2%,265,678,39.1%,5.2%,-0.2%
53011041900,53,WA,011,Clark County,041900,972,8,422,1.9%,78,"1,037",7.5%,47,274,17.2%,5.2%,-0.2%
53011042000,53,WA,011,Clark County,042000,683,8,494,1.6%,31,745,4.2%,51,321,15.9%,5.2%,-0.2%
53011042100,53,WA,011,Clark County,042100,"1,099",24,918,2.6%,85,"1,353",6.3%,145,597,24.3%,5.2%,-0.2%
53011042300,53,WA,011,Clark County,042300,"1,275",15,588,2.6%,89,"1,472",6.0%,91,382,23.8%,5.2%,-0.2%
53011042400,53,WA,011,Clark County,042400,350,1,91,1.1%,123,914,13.5%,4,59,6.8%,5.2%,-0.2%
53011042500,53,WA,011,Clark County,042500,594,7,285,2.5%,48,699,6.9%,40,185,21.6%,5.2%,-0.2%
53011042600,53,WA,011,Clark County,042600,"2,244",15,794,1.9%,142,"2,735",5.2%,95,516,18.4%,5.2%,-0.2%
53011042700,53,WA,011,Clark County,042700,"1,863",23,502,4.6%,103,"2,031",5.1%,135,326,41.4%,5.2%,-0.2%
53011042800,53,WA,011,Clark County,042800,"1,155",10,629,1.6%,65,"1,287",5.1%,63,409,15.4%,5.2%,-0.2%
53011042900,53,WA,011,Clark County,042900,667,6,203,3.0%,9,612,1.5%,34,132,25.8%,5.2%,-0.2%
53011043000,53,WA,011,Clark County,043000,736,5,332,1.5%,24,750,3.2%,33,216,15.3%,5.2%,-0.2%
53011043100,53,WA,011,Clark County,043100,"1,646",29,"1,060",2.7%,99,"1,756",5.6%,177,689,25.7%,5.2%,-0.2%
53013960200,53,WA,013,Columbia County,960200,"1,688",16,466,3.4%,106,"1,760",6.0%,81,303,26.7%,7.2%,0.0%
53015000100,53,WA,015,Cowlitz County,000100,134,0,2,0.0%,3,163,1.8%,0,1,0.0%,8.0%,-1.3%
53015000200,53,WA,015,Cowlitz County,000200,"1,348",10,172,5.8%,48,"1,857",2.6%,51,112,45.5%,8.0%,-1.3%
53015000300,53,WA,015,Cowlitz County,000300,436,0,5,0.0%,38,482,7.9%,0,3,0.0%,8.0%,-1.3%
53015000400,53,WA,015,Cowlitz County,000400,"2,015",11,378,2.9%,75,"2,158",3.5%,50,246,20.3%,8.0%,-1.3%
53015000501,53,WA,015,Cowlitz County,000501,"1,138",31,680,4.6%,41,"1,205",3.4%,150,442,33.9%,8.0%,-1.3%
53015000502,53,WA,015,Cowlitz County,000502,"1,486",28,438,6.4%,105,"1,744",6.0%,143,285,50.2%,8.0%,-1.3%
53015000601,53,WA,015,Cowlitz County,000601,"1,592",21,474,4.4%,46,"1,790",2.6%,101,308,32.8%,8.0%,-1.3%
53015000602,53,WA,015,Cowlitz County,000602,"1,340",22,586,3.8%,30,"1,354",2.2%,103,381,27.0%,8.0%,-1.3%
53015000701,53,WA,015,Cowlitz County,000701,"3,056",49,"1,349",3.6%,50,"3,566",1.4%,219,877,25.0%,8.2%,-1.3%
53015000702,53,WA,015,Cowlitz County,000702,"1,063",26,645,4.0%,22,"1,163",1.9%,123,419,29.4%,8.0%,-1.3%
53015000800,53,WA,015,Cowlitz County,000800,"2,454",52,"1,597",3.3%,54,"2,841",1.9%,224,"1,038",21.6%,8.3%,-1.3%
